education,Precision,Recall,Fbeta
5th_6th,1.0,0.2,0.33333333333333337
assoc_voc,0.6964285714285714,0.582089552238806,0.6341463414634148
some_college,0.6348314606741573,0.424812030075188,0.509009009009009
hs_grad,0.7086614173228346,0.26627218934911245,0.38709677419354843
masters,0.7644444444444445,0.8865979381443299,0.8210023866348448
11th,1.0,0.09090909090909091,0.16666666666666669
bachelors,0.7550274223034735,0.8309859154929577,0.7911877394636015
prof_school,0.8591549295774648,0.8472222222222222,0.8531468531468532
7th_8th,1.0,0.0,0.0
assoc_acdm,0.7,0.5555555555555556,0.6194690265486726
9th,0.0,0.0,0.0
1st_4th,1.0,0.0,0.0
10th,0.5,0.05,0.09090909090909091
doctorate,0.8769230769230769,0.9344262295081968,0.9047619047619049
12th,1.0,0.18181818181818182,0.3076923076923077
preschool,0.0,1.0,0.0
